topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
405,nostop,nolug,dirichletlm,0.1479,0.5282,0.4000,0.3708,0.2677,0.6676
406,nostop,nolug,dirichletlm,0.1518,0.2728,0.2000,0.6146,0.2669,0.3172
407,nostop,nolug,dirichletlm,0.2212,0.4690,0.4000,0.5778,0.3876,0.6110
408,nostop,nolug,dirichletlm,0.1089,0.3427,0.4000,0.3789,0.2835,0.5617
409,nostop,nolug,dirichletlm,0.1425,0.2182,0.1000,0.5639,0.2272,0.5291
410,nostop,nolug,dirichletlm,0.5767,0.8888,0.9000,0.8207,0.4832,0.6925
411,nostop,nolug,dirichletlm,0.1430,0.4473,0.3000,0.4288,0.3034,0.6530
412,nostop,nolug,dirichletlm,0.0307,0.1610,0.2000,0.2633,0.1746,0.1720
413,nostop,nolug,dirichletlm,0.0342,0.0407,0.1000,0.2939,0.1519,0.0762
414,nostop,nolug,dirichletlm,0.0305,0.0135,0.0000,0.3581,0.1494,0.0536
415,nostop,nolug,dirichletlm,0.3396,0.9394,0.9000,0.6339,0.4731,0.6931
416,nostop,nolug,dirichletlm,0.3552,0.4030,0.5000,0.7798,0.4484,0.3231
417,nostop,nolug,dirichletlm,0.1627,0.4324,0.4000,0.5532,0.3286,0.5975
418,nostop,nolug,dirichletlm,0.1049,0.7170,0.6000,0.2835,0.1974,0.6905
419,nostop,nolug,dirichletlm,0.1419,0.3571,0.3000,0.3739,0.2305,0.5993
420,nostop,nolug,dirichletlm,0.3585,0.8179,0.7000,0.7126,0.4077,0.6927
421,nostop,nolug,dirichletlm,0.0505,0.2444,0.2000,0.3271,0.1992,0.5396
422,nostop,nolug,dirichletlm,0.0811,0.3328,0.3000,0.4284,0.2720,0.3385
423,nostop,nolug,dirichletlm,0.6835,0.8339,0.9000,0.8924,0.5724,0.6780
424,nostop,nolug,dirichletlm,0.0252,0.3165,0.2000,0.1861,0.0915,0.3504
425,nostop,nolug,dirichletlm,0.1543,0.7690,0.7000,0.3582,0.2471,0.6878
426,nostop,nolug,dirichletlm,0.0031,0.0041,0.0000,0.0743,0.0296,0.0381
427,nostop,nolug,dirichletlm,0.1743,0.5607,0.6000,0.5091,0.3422,0.6255
428,nostop,nolug,dirichletlm,0.0637,0.2907,0.3000,0.3371,0.2692,0.2050
429,nostop,nolug,dirichletlm,0.1534,0.2308,0.2000,0.5435,0.3414,0.3002
430,nostop,nolug,dirichletlm,0.5538,0.4503,0.3000,0.9005,0.5934,0.6533
431,nostop,nolug,dirichletlm,0.1738,0.6891,0.7000,0.4000,0.2679,0.6682
432,nostop,nolug,dirichletlm,0.0148,0.1025,0.1000,0.1416,0.0929,0.1348
433,nostop,nolug,dirichletlm,0.1118,0.2695,0.2000,0.3854,0.2642,0.3226
434,nostop,nolug,dirichletlm,0.2962,0.8717,0.8000,0.6210,0.2927,0.6930
435,nostop,nolug,dirichletlm,0.0375,0.3763,0.2000,0.2296,0.1697,0.6391
436,nostop,nolug,dirichletlm,0.0108,0.2624,0.2000,0.1006,0.0449,0.3170
437,nostop,nolug,dirichletlm,0.0084,0.0003,0.0000,0.1888,0.1007,0.0228
438,nostop,nolug,dirichletlm,0.0476,0.0293,0.1000,0.3390,0.2112,0.0682
439,nostop,nolug,dirichletlm,0.0202,0.0188,0.0000,0.1992,0.0520,0.0585
440,nostop,nolug,dirichletlm,0.0014,0.0000,0.0000,0.0832,0.0395,0.0059
441,nostop,nolug,dirichletlm,0.5118,0.6718,0.6000,0.8244,0.5974,0.6357
442,nostop,nolug,dirichletlm,0.0039,0.0026,0.0000,0.0898,0.0399,0.0354
443,nostop,nolug,dirichletlm,0.0588,0.1746,0.3000,0.3527,0.2520,0.1334
444,nostop,nolug,dirichletlm,0.3706,0.6163,0.6000,0.7210,0.4274,0.6817
445,nostop,nolug,dirichletlm,0.0383,0.1994,0.2000,0.2412,0.2014,0.2173
446,nostop,nolug,dirichletlm,0.0103,0.0426,0.0000,0.1384,0.0625,0.0757
447,nostop,nolug,dirichletlm,0.5848,0.7461,0.7000,0.8393,0.6092,0.6908
448,nostop,nolug,dirichletlm,0.0066,0.0429,0.1000,0.0979,0.0534,0.0746
449,nostop,nolug,dirichletlm,0.1139,0.6834,0.5000,0.3726,0.2639,0.6900
450,nostop,nolug,dirichletlm,0.4398,0.7956,0.8000,0.7494,0.5202,0.6775
401,nostop,nolug,dlh,0.0039,0.0029,0.0000,0.0832,0.0345,0.0324
402,nostop,nolug,dlh,0.1301,0.5073,0.5000,0.4203,0.2878,0.6214
403,nostop,nolug,dlh,0.8811,0.9707,1.0000,0.9377,0.6981,0.6931
404,nostop,nolug,dlh,0.1197,0.4417,0.3000,0.4899,0.2911,0.6529
405,nostop,nolug,dlh,0.1133,0.2837,0.3000,0.3573,0.2684,0.2352
406,nostop,nolug,dlh,0.2539,0.3355,0.3000,0.7204,0.4568,0.3294
407,nostop,nolug,dlh,0.1697,0.5287,0.4000,0.4666,0.3151,0.6283
408,nostop,nolug,dlh,0.1554,0.4378,0.4000,0.4511,0.3640,0.5826
409,nostop,nolug,dlh,0.2382,0.5554,0.4000,0.5806,0.3638,0.6717
410,nostop,nolug,dlh,0.7806,0.9988,1.0000,0.9172,0.5997,0.6931
411,nostop,nolug,dlh,0.1831,0.5779,0.5000,0.4168,0.3252,0.6728
412,nostop,nolug,dlh,0.1471,0.6172,0.6000,0.4125,0.3168,0.6264
413,nostop,nolug,dlh,0.0747,0.1667,0.1000,0.4377,0.2367,0.2041
414,nostop,nolug,dlh,0.2090,0.3673,0.3000,0.6381,0.3427,0.5782
415,nostop,nolug,dlh,0.3421,0.8598,0.8000,0.6302,0.4323,0.6914
416,nostop,nolug,dlh,0.3007,0.3935,0.3000,0.6878,0.3992,0.3472
417,nostop,nolug,dlh,0.3203,0.7013,0.6000,0.6769,0.4311,0.6755
418,nostop,nolug,dlh,0.0916,0.6571,0.6000,0.2503,0.1893,0.3858
419,nostop,nolug,dlh,0.1451,0.3656,0.2000,0.3252,0.2497,0.6332
420,nostop,nolug,dlh,0.3910,0.8256,0.8000,0.7117,0.4581,0.6924
421,nostop,nolug,dlh,0.0544,0.1859,0.3000,0.3666,0.2138,0.1605
422,nostop,nolug,dlh,0.3265,0.6265,0.6000,0.6440,0.4483,0.3825
423,nostop,nolug,dlh,0.6624,0.8748,0.9000,0.8685,0.5485,0.6915
424,nostop,nolug,dlh,0.0265,0.1329,0.2000,0.1880,0.1216,0.1332
425,nostop,nolug,dlh,0.1622,0.9101,0.9000,0.3630,0.2453,0.6931
426,nostop,nolug,dlh,0.0072,0.0103,0.0000,0.1145,0.0538,0.0491
427,nostop,nolug,dlh,0.1852,0.6580,0.6000,0.4516,0.3555,0.6841
428,nostop,nolug,dlh,0.0831,0.3260,0.4000,0.3663,0.2627,0.3129
429,nostop,nolug,dlh,0.2051,0.2791,0.3000,0.6626,0.3587,0.3124
430,nostop,nolug,dlh,0.4387,0.3669,0.3000,0.9416,0.5304,0.3574
431,nostop,nolug,dlh,0.1600,0.7871,0.8000,0.3703,0.2599,0.6903
432,nostop,nolug,dlh,0.0045,0.0005,0.0000,0.1175,0.0405,0.0239
433,nostop,nolug,dlh,0.0548,0.1700,0.2000,0.2722,0.2172,0.2021
434,nostop,nolug,dlh,0.2952,0.9372,0.9000,0.6391,0.4475,0.6931
435,nostop,nolug,dlh,0.0489,0.3378,0.3000,0.2874,0.2048,0.5809
436,nostop,nolug,dlh,0.0333,0.1926,0.4000,0.2149,0.1219,0.1387
437,nostop,nolug,dlh,0.0058,0.0003,0.0000,0.1462,0.0738,0.0220
438,nostop,nolug,dlh,0.1031,0.3320,0.3000,0.4485,0.2932,0.3528
439,nostop,nolug,dlh,0.0301,0.1281,0.1000,0.2086,0.1164,0.1774
440,nostop,nolug,dlh,0.0390,0.1713,0.3000,0.2699,0.2141,0.1519
441,nostop,nolug,dlh,0.5699,0.6518,0.8000,0.8756,0.5871,0.3850
442,nostop,nolug,dlh,0.0021,0.0001,0.0000,0.0609,0.0251,0.0218
443,nostop,nolug,dlh,0.0477,0.0278,0.0000,0.3287,0.2166,0.0673
444,nostop,nolug,dlh,0.5091,0.7566,0.6000,0.7578,0.5035,0.6919
445,nostop,nolug,dlh,0.1530,0.6837,0.5000,0.4147,0.3073,0.6895
446,nostop,nolug,dlh,0.0877,0.3688,0.4000,0.3678,0.2705,0.5681
447,nostop,nolug,dlh,0.1731,0.2141,0.1000,0.5939,0.2544,0.5262
448,nostop,nolug,dlh,0.0200,0.0297,0.1000,0.2705,0.1212,0.0665
449,nostop,nolug,dlh,0.0611,0.3299,0.4000,0.3238,0.2229,0.2587
450,nostop,nolug,dlh,0.4755,0.9899,1.0000,0.7492,0.5093,0.6931
401,nostop,nolug,dph,0.0049,0.0137,0.0000,0.0975,0.0325,0.0444
402,nostop,nolug,dph,0.1779,0.6523,0.6000,0.5026,0.3206,0.6354
403,nostop,nolug,dph,0.8382,0.9670,1.0000,0.9223,0.7378,0.6931
404,nostop,nolug,dph,0.1941,0.5383,0.5000,0.6014,0.3430,0.6680
405,nostop,nolug,dph,0.1221,0.3741,0.5000,0.3369,0.2445,0.3227
406,nostop,nolug,dph,0.2926,0.4347,0.4000,0.7194,0.3621,0.3744
407,nostop,nolug,dph,0.2120,0.5370,0.6000,0.5010,0.3828,0.6182
408,nostop,nolug,dph,0.1329,0.4874,0.4000,0.4049,0.3194,0.6209
409,nostop,nolug,dph,0.1641,0.3283,0.3000,0.5717,0.3319,0.5699
410,nostop,nolug,dph,0.7400,0.9928,1.0000,0.8822,0.6032,0.6931
